epoch,train_loss,val_loss
1,0.7636398685391119,0.6554368349813646
2,0.6157178154457306,0.5943068747923557
3,0.5691621601496318,0.5631739690916424
4,0.5402785971244957,0.536326185336235
5,0.5210229290830994,0.5222023946026939
6,0.5090667128909631,0.5069938156840799
7,0.5013653900383016,0.5063219033305982
8,0.4967271488945307,0.5046619677039752
9,0.4920628230229817,0.5021569745028774
10,0.4868869972749628,0.4963293344611188
11,0.48930200309490607,0.4883324261104172
12,0.4876210353781887,0.49067285318130643
13,0.4854268220117325,0.49066824547043103
14,0.4850511699389193,0.4866859859831474
15,0.4839336334539344,0.4901345722534765
16,0.4824031627876147,0.48979767603391533
17,0.48059512204342736,0.487321477989201
18,0.4822139205895787,0.48723039709288496
19,0.47898731888039636,0.48587203599984974
20,0.4813845852338246,0.48348298571398846
21,0.478747334774245,0.4917474748560531
22,0.4809923710752127,0.4834948249467886
23,0.47888370199995567,0.4872124757464391
24,0.4797288869736112,0.48866857334026637
25,0.4783790713897069,0.48225260454502467
26,0.47741916598372935,0.4803003249099443
27,0.47865784871313355,0.48482431010224
28,0.4796508586479459,0.4845885790892782
29,0.47811025565807524,0.485487051588277
30,0.4777565338005269,0.4831676543421952
31,0.4788310814343725,0.4844672600605066
32,0.47803225246843944,0.4836440850152853
33,0.4779489176924922,0.4842299897161554
34,0.4781786806251251,0.4821135455960029
35,0.4764081962094744,0.4813442541839549
36,0.4767728419779958,0.4848207417001183
37,0.476099120515698,0.4818386372787934
38,0.4790174548057806,0.4842991334047413
39,0.47663278651667174,0.48022047327675993
40,0.4753999458751131,0.4815198469215028
41,0.47627113911697927,0.485442255336265
42,0.4746841207761902,0.4804600116540911
43,0.47509734709246704,0.48070667411912404
44,0.4773691981232313,0.4805350753568834
45,0.4760704059169781,0.4826611571768102
46,0.4787998452386195,0.4820494338853473
47,0.4772053106680059,0.47796214710220747
48,0.474001812059022,0.48240151471635523
49,0.4763211319486804,0.4828619467668459
50,0.4741028869210043,0.4789035741824064
51,0.47611556224694773,0.48418148486844953
52,0.47349823663343155,0.48139470708250864
53,0.47485918283485257,0.481614612710887
54,0.47477018637926344,0.4797151987889452
55,0.47393906229874805,0.48138859661853356
56,0.47276773528749455,0.4783854152257238
57,0.47534942767908134,0.48085759526763
58,0.47411782326979757,0.4836588185806826
59,0.47519670192252084,0.4836272661890151
60,0.4741681750792389,0.4817298566671845
61,0.4723691862327668,0.4809023709265356
62,0.4739263834552723,0.47920461802912234
63,0.4759917363795832,0.4757916520779602
64,0.4732446704122715,0.47872460051558835
65,0.4750110064509304,0.47882935104433766
66,0.4733032132367041,0.47811150450727696
67,0.47395329111022766,0.4804609724226199
68,0.47242078063166765,0.47884472086114005
69,0.4727647218597825,0.4792132781663116
70,0.47294770634025435,0.4795343403158517
71,0.47408940548936346,0.47889939087781813
72,0.4731779488666253,0.47683771519162366
73,0.4721147836908617,0.4751780229627887
74,0.4710161295077634,0.480145587380126
75,0.47464948674056284,0.48514099963117097
76,0.4742799444308644,0.47811448007192175
77,0.47333931661747974,0.481149317319189
78,0.47341949525729277,0.4801505252238243
79,0.471967982836057,0.4807028141448707
80,0.4715445542785657,0.4776783224738082
81,0.472073184286683,0.47895601182943986
82,0.4714324894357912,0.4832068046022443
83,0.47283965121850596,0.48130276932467075
84,0.4738645727793345,0.4808076500760037
85,0.4755314648111612,0.4788310100159735
86,0.4731285042447654,0.47716444164547694
87,0.4748901372768864,0.47711362064348845
88,0.4739227208217493,0.4762471726924612
89,0.4719907839088862,0.47626419287502303
90,0.473088238064686,0.4810719770504715
91,0.47378375552522906,0.47791794990671094
92,0.47383989384190944,0.47836714375668826
93,0.47317702542374834,0.47750321596164724
94,0.47348172765584307,0.4792667442354663
95,0.4717842047561439,0.4784715156003551
96,0.47340533471521257,0.4816124660287206
97,0.47417985052765527,0.475898949906346
98,0.47213937941367784,0.4785420698371692
99,0.4724596445395856,0.48014183996516685
100,0.4724688812446649,0.4770219290481924
